panel,script,purpose,shared_logic,specific_parameters,main_outputs
Figure2A,R/figure2A_region_annotation_umap_spatial.R,UMAP and spatial map of tissue-region annotations,Seurat DimPlot plus SpatialDimPlot,"Sample-specific clustering parameters in config/sample_specific_parameters.csv; region markers in config/region_marker_sets.csv",figure2A_<sample>_region_annotation.pdf
Figure2B,R/figure2B_celltype_composition_by_region.R,Stacked barplot of cell2location-estimated cell-type composition in each region,cell_abundance_long() parses q05cell_abundance_w_sf_* columns,Sample-specific region order and cell2location metadata,figure2B_<sample>_celltype_composition.pdf
Figure2C,R/figure2C_marker_violin.R,Marker-gene violin plots used to support region annotation,Seurat VlnPlot with marker list,"Main and supplementary marker lists in config/region_marker_sets.csv",figure2C_<sample>_region_marker_violin.pdf
Figure2D,R/figure2D_E_F_celltype_abundance_violin.R,Follicular-region cell-type abundance comparisons,plot_abundance_violin() plus Wilcoxon BH,Follicular LZ Inter LZ-DZ Follicular DZ Mantle zone; B Cycling B GC DZ B GC LZ B GC prePB B plasma T CD4+ TfH GC,figure2D_<sample>_abundance_violin.pdf
Figure2E,R/figure2D_E_F_celltype_abundance_violin.R,Inter-follicular CD5+ versus CD5- abundance comparisons,plot_abundance_violin() plus Wilcoxon BH,Inter-Follicular CD5+ Inter-Follicular CD5-; T CD8+ naive Macrophages M1 B plasma B Cycling,figure2E_<sample>_abundance_violin.pdf
Figure2F,R/figure2D_E_F_celltype_abundance_violin.R,Stromal and parenchymal abundance comparisons,plot_abundance_violin() plus Wilcoxon BH,Muscle/Mesenchymal Vascular/Mesenchymal Vascular; VSMC B mem B plasma Endo DC cDC2 Monocytes Mast,figure2F_<sample>_abundance_violin.pdf
Figure2G,R/figure2G_J_shannon_diversity_by_region.R,IGH/TRB clonotype Shannon diversity by region,vdj_spot_metrics() computes UMI-weighted Shannon,Region groups supplied per sample if needed,figure2G_<sample>_<receptor>_shannon.pdf
Figure2H,R/figure2H_shm_rate_by_region.R,IGH SHM rate comparison by tissue region,find_shm_column() selects SHM/mutation-rate column,Follicular-region comparison by default,figure2H_<sample>_IGH_SHM_region.pdf
Figure2I,R/figure2I_K_correlation_heatmaps.R,Cell-type abundance versus IGH/TRB clonotype metric correlation,Spearman correlation plus BH stars,Metric defaults to Shannon; receptors IGH and TRB,figure2I_<sample>_<receptor>_<metric>_heatmap.pdf
Figure2J,R/figure2J_K_random_celltype_assignment.R,Random assignment of clonotypes to B/T cell types before diversity comparisons,assign_clonotypes_to_celltypes() and celltype_shannon(),"IGH->B cell types; TRB->T cell types; probabilities from q05 cell2location abundances; see config/random_celltype_parameters.csv",figure2J_K_<sample>_*_random_celltype_shannon.pdf
Figure2K,R/figure2J_K_random_celltype_assignment.R,B/T cell-type clonotype diversity correlation heatmap,bt_correlation_heatmap() computes Spearman plus BH stars,"Spearman correlation with BH-adjusted stars; uses random-celltype diversity tables from Figure2J",figure2J_K_<sample>_BT_random_celltype_shannon_correlation.pdf
Figure2L,R/figure2L_cellchat_interaction_strength.R,CellChat ligand-receptor interaction strength heatmap across tissue regions,createCellChat group.by region plus aggregateNet,Region labels in Seurat metadata,figure2L_<sample>_cellchat_strength.pdf
Figure2M,R/figure2M_cellchat_pathway_networks.R,Pathway-specific CellChat network and ligand-receptor contribution plots,netVisual_aggregate() plus netAnalysis_contribution(),"Main pathway ICOS; supplementary pathways BAFF MHC-II CXCL; full retained pathway list in config/cellchat_parameters.csv",figure2M_<sample>_<pathway>_cellchat.pdf
