panel,sample_id,region_parameters,marker_or_celltype_parameters,reused_code
FigureS2A,LN2,Uses CellChat/cell2location region annotations,IGH receptor; Shannon metric,R/figure2I_K_correlation_heatmaps.R
FigureS2B,LN2,Uses CellChat/cell2location region annotations,TRB receptor; Shannon metric,R/figure2I_K_correlation_heatmaps.R
FigureS2C,LN2,Region-level CellChat object,Incoming and outgoing interaction strength,R/figure2L_cellchat_interaction_strength.R
FigureS2D,LN2,Region-level CellChat object,CellChat interaction network,R/figure2L_cellchat_interaction_strength.R
FigureS2E,LN2,Region-level CellChat object,BAFF MHC-II CXCL pathway networks,R/figure2M_cellchat_pathway_networks.R
FigureS2F,LN2,Region-level CellChat object,BAFF MHC-II CXCL ligand-receptor contribution bars,R/figure2M_cellchat_pathway_networks.R
FigureS3A,Tonsil2,S3 regions: Follicular DZ; Follicular LZ; Mantle zone; Inter-Follicular SDC1+; Inter-Follicular low SDC1+; Inter-Follicular IL7R+; Inter-Follicular CXCL10+; Epithelial/Muscle; Subepithelial/Mesenchymal/Vascular,Region annotation UMAP and spatial plot,R/figure2A_region_annotation_umap_spatial.R
FigureS3B,Tonsil2,S3 regions listed above,Cell2location cell-type composition,R/figure2B_celltype_composition_by_region.R
FigureS3C,Tonsil2,S3 regions listed above,S3 marker genes: AICDA SUGCT PDCD1 COL15A1 TNFRSF6B SPARCL1 SELD ACKR1 CXCL10 CHI3L1 HBA1 CXCL13 CLEC4G IL7R SDC1,R/figure2C_marker_violin.R
FigureS3D_F,Tonsil2,S3 region groups: follicular/mantle; inter-follicular; epithelial/vascular,Cell-type abundance violins listed in figureS3_abundance_panels,R/figure2D_E_F_celltype_abundance_violin.R
FigureS3G_H,Tonsil2,S3 region groups,IGH/TRB Shannon and IGH SHM,R/figure2G_J_shannon_diversity_by_region.R and R/figure2H_shm_rate_by_region.R
FigureS3I,Tonsil2,S3 regions,IGH/TRB Spearman correlation heatmaps,R/figure2I_K_correlation_heatmaps.R
FigureS3J_K,LN2,S3 regions,B/T random cell-type diversity and B-T correlation,R/figure2J_K_random_celltype_assignment.R
FigureS4A,Tonsil1,Tonsil1 before/after filtering,QC features nCount_Spatial and nFeature_Spatial,S4-specific Seurat QC plotting in R/figureS4_Tonsil1_region_analysis.R
FigureS4B,Tonsil1,S4 regions: Follicular zone; Mantle zone; Subepithelial/Mesenchymal; Epithelium-like structures; Inter-Follicular CD6+; Inter-Follicular XBP1+,Region annotation UMAP and spatial plot,R/figure2A_region_annotation_umap_spatial.R
FigureS4C,Tonsil1,S4 regions listed above,Cell2location cell-type composition,R/figure2B_celltype_composition_by_region.R
FigureS4D,Tonsil1,S4 regions listed above,S4 marker genes: KRT3 KRT5 KRT8 KRT18 SPIB SYK JCHAIN SDC1 IGHG1 IGHG2 IGHG3 IGHG4 XBP1 CCL21 CCL19 CCL16 JCHAIN LCN1 SERPINA9 RGS13 CXCR4 SMOC2 HAPLN1 MADCAM1 PLAC8 CD9 CXCR2 FCER2 FCER2 MME CD6 ARHGAP15,R/figureS4_Tonsil1_region_analysis.R
FigureS4E_G,Tonsil1,S4 follicular/mantle groups,IGH/TRB Shannon diversity,R/figure2G_J_shannon_diversity_by_region.R
FigureS4F_H,Tonsil1,S4 regions,IGH/TRB Spearman correlation heatmaps,R/figure2I_K_correlation_heatmaps.R
